Date,Close (GP),Average (GP),Volume (Sold)
2020-04-08,3403,3524,2934738
2020-04-09,3379,3517,1970588
2020-04-10,3364,3510,1329140
2020-04-11,3374,3504,3775753
2020-04-12,3400,3495,2212882
2020-04-13,3407,3487,1568562
2020-04-14,3395,3479,1796671
2020-04-15,3336,3467,612489
2020-04-16,3297,3457,1299774
2020-04-17,3305,3449,2261863
2020-04-18,3296,3441,2539870
2020-04-19,3285,3432,585309
2020-04-20,3258,3423,1987016
2020-04-21,3250,3414,1665851
2020-04-22,3241,3402,663186
2020-04-23,3232,3391,1964816
2020-04-24,3216,3378,1854381
2020-04-25,3189,3366,2069515
2020-04-26,3177,3354,3150015
2020-04-27,3166,3342,2895437
2020-04-28,3160,3330,2582817
2020-04-29,3243,3321,138875
2020-04-30,3329,3316,2532189
2020-05-01,3439,3315,1243592
2020-05-02,3413,3315,2230739
2020-05-03,3439,3317,275812
2020-05-04,3406,3319,1442559
2020-05-05,3377,3320,2321376
2020-05-06,3359,3318,3058976
2020-05-07,3341,3315,2031835
2020-05-08,3323,3313,1671280
2020-05-09,3327,3311,3244675
2020-05-10,3232,3307,782535
2020-05-11,3199,3301,1701023
2020-05-12,3167,3293,1696580
2020-05-13,3139,3284,260942
2020-05-14,3124,3275,1424279
2020-05-15,3132,3268,2216243
2020-05-16,3146,3263,2600607
2020-05-17,3164,3258,2451729
2020-05-18,3179,3255,1316971
2020-05-19,3136,3250,2294338
2020-05-20,3160,3246,1858271
2020-05-21,3221,3245,1636303
2020-05-22,3273,3246,1934979
2020-05-23,3257,3247,3763136
2020-05-24,3210,3247,1639912
2020-05-25,3208,3248,1061901
2020-05-26,3256,3250,1676187
2020-05-27,3235,3253,1577883
2020-05-28,3205,3254,1518903
2020-05-29,3192,3252,2722873
2020-05-30,3161,3247,2014418
2020-05-31,3107,3236,2441112
2020-06-01,3052,3224,1779940
2020-06-02,2965,3208,3023629
2020-06-03,3019,3195,971304
2020-06-04,3028,3183,1237061
