Date,Close (GP),Average (GP),Volume (Sold)
2020-04-08,3199,3039,3672948
2020-04-09,3238,3050,2216256
2020-04-10,3278,3061,1365927
2020-04-11,3289,3073,3756249
2020-04-12,3298,3085,2332779
2020-04-13,3326,3098,2050533
2020-04-14,3308,3110,2182669
2020-04-15,3283,3121,932620
2020-04-16,3228,3130,1591848
2020-04-17,3183,3138,2861912
2020-04-18,3107,3143,4168206
2020-04-19,3015,3145,793363
2020-04-20,3042,3146,2657718
2020-04-21,3099,3149,2291853
2020-04-22,3139,3152,993771
2020-04-23,3145,3155,2161356
2020-04-24,3131,3157,2377166
2020-04-25,3059,3157,2491773
2020-04-26,3066,3158,3318842
2020-04-27,3088,3158,3316214
2020-04-28,3093,3158,3221520
2020-04-29,3082,3159,178864
2020-04-30,3082,3159,3397623
2020-05-01,3112,3159,1653039
2020-05-02,3145,3160,2733299
2020-05-03,3132,3160,438140
2020-05-04,3093,3159,2030445
2020-05-05,3058,3155,2885123
2020-05-06,3063,3151,3970917
2020-05-07,3071,3148,2533023
2020-05-08,3080,3144,1764078
2020-05-09,3079,3139,3906061
2020-05-10,3058,3131,1017159
2020-05-11,3020,3122,1946583
2020-05-12,3014,3113,2038124
2020-05-13,3015,3103,312960
2020-05-14,3024,3093,1774590
2020-05-15,3044,3085,2798967
2020-05-16,3049,3079,3064087
2020-05-17,3066,3075,2825666
2020-05-18,3016,3072,1913071
2020-05-19,3009,3072,3048541
2020-05-20,3022,3071,2290313
2020-05-21,3027,3069,2149462
2020-05-22,3037,3066,2658096
2020-05-23,3053,3062,4498840
2020-05-24,3055,3060,2019362
2020-05-25,3015,3058,1361271
2020-05-26,2994,3056,2175614
2020-05-27,3003,3053,1848823
2020-05-28,3002,3050,2238141
2020-05-29,2998,3047,3653404
2020-05-30,2990,3044,2333213
2020-05-31,2986,3040,2519941
2020-06-01,2995,3035,2228450
2020-06-02,2995,3031,3881539
2020-06-03,3023,3028,1308960
2020-06-04,3013,3027,1893709
2020-06-05,2989,3024,4441814
2020-06-06,2951,3020,3208638
2020-06-07,2946,3016,2142977
2020-06-08,2929,3011,2287258
2020-06-09,2922,3006,2590148
2020-06-10,2909,3003,3945445
2020-06-11,2902,2999,960001
2020-06-12,2894,2995,1738952
2020-06-13,2878,2990,2464168
2020-06-14,2838,2983,906340
2020-06-15,2820,2975,2428318
2020-06-16,2830,2968,2317131
2020-06-17,2859,2962,1071146
2020-06-18,2893,2958,1642691
2020-06-19,2892,2954,4061582
2020-06-20,2878,2949,1826726
2020-06-21,2846,2943,140901
2020-06-22,2863,2936,3306646
2020-06-23,2871,2930,2359518
2020-06-24,2881,2926,0
2020-06-25,2872,2922,3113917
2020-06-26,2870,2917,3202160
2020-06-27,2871,2913,2229937
2020-06-28,2845,2908,2332296
2020-06-29,2832,2903,2525687
2020-06-30,2813,2897,4141542
2020-07-01,2840,2892,1817075
2020-07-02,2862,2887,2592566
2020-07-03,2885,2883,3349612
2020-07-04,2904,2879,3292863
2020-07-05,2893,2876,1418739
2020-07-06,2924,2875,3581888
2020-07-07,2939,2875,2311677
2020-07-08,2916,2874,176703
2020-07-09,2910,2874,2309311
2020-07-10,2917,2874,3651066
2020-07-11,2915,2875,3119257
2020-07-12,2892,2874,1375016
2020-07-13,2889,2875,2735676
2020-07-14,2895,2877,2671478
2020-07-15,2905,2880,813739
