Date,Close (GP),Average (GP),Volume (Sold)
2020-04-08,511,529,14745257
2020-04-09,511,528,8669420
2020-04-10,512,527,5129673
2020-04-11,513,526,16975250
2020-04-12,521,525,9539831
2020-04-13,524,524,8284056
2020-04-14,526,523,8703255
2020-04-15,527,523,3106688
2020-04-16,528,523,5673155
2020-04-17,528,523,11169143
2020-04-18,531,524,14223904
2020-04-19,529,524,3579679
2020-04-20,528,524,12303395
2020-04-21,523,525,9583023
2020-04-22,522,525,3880263
2020-04-23,523,524,10010958
2020-04-24,527,524,9501605
2020-04-25,528,524,10770976
2020-04-26,530,524,16039235
2020-04-27,527,523,17067031
2020-04-28,527,523,14281170
2020-04-29,532,524,795004
2020-04-30,539,525,13830226
2020-05-01,552,525,6713829
2020-05-02,570,527,10213664
2020-05-03,570,528,1643476
2020-05-04,548,529,9331423
2020-05-05,544,529,13293389
2020-05-06,549,530,16333444
2020-05-07,571,532,11849857
2020-05-08,566,534,8795418
2020-05-09,564,535,16643228
2020-05-10,555,537,4151920
2020-05-11,538,538,9822997
2020-05-12,533,538,10176615
2020-05-13,535,539,1185627
2020-05-14,540,539,5934013
2020-05-15,567,540,10544031
2020-05-16,590,542,13789585
2020-05-17,584,544,11963139
2020-05-18,559,545,7948841
2020-05-19,557,546,13384287
2020-05-20,558,547,10760401
2020-05-21,558,548,8854919
2020-05-22,554,549,12873059
2020-05-23,538,550,24705938
2020-05-24,520,550,11111406
2020-05-25,520,549,7377710
2020-05-26,522,549,11088848
2020-05-27,531,549,6760513
2020-05-28,558,550,7695404
2020-05-29,570,552,14293994
2020-05-30,561,552,9544195
2020-05-31,538,552,11914151
2020-06-01,538,551,8747357
2020-06-02,552,550,16171491
2020-06-03,568,551,5187544
2020-06-04,565,551,7762523
2020-06-05,558,552,16531584
2020-06-06,553,551,12589829
2020-06-07,555,551,8831308
2020-06-08,556,551,8955322
2020-06-09,555,551,10600899
2020-06-10,562,551,16590908
2020-06-11,560,552,3242907
2020-06-12,553,553,8388853
2020-06-13,549,553,10520608
2020-06-14,557,553,3009685
2020-06-15,559,552,10175688
2020-06-16,563,551,8890119
2020-06-17,577,552,3583380
2020-06-18,554,552,5986159
2020-06-19,558,552,17827041
2020-06-20,532,551,8618471
2020-06-21,528,550,437150
