Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
1,2020/04/08,2020/04/08,3403,2020/04/08,3524,2020/04/08,2934738.0
2,2020/04/09,2020/04/09,3379,2020/04/09,3517,2020/04/09,1970588.0
3,2020/04/10,2020/04/10,3364,2020/04/10,3510,2020/04/10,1329140.0
4,2020/04/11,2020/04/11,3374,2020/04/11,3504,2020/04/11,3775753.0
5,2020/04/12,2020/04/12,3400,2020/04/12,3495,2020/04/12,2212882.0
6,2020/04/13,2020/04/13,3407,2020/04/13,3487,2020/04/13,1568562.0
7,2020/04/14,2020/04/14,3395,2020/04/14,3479,2020/04/14,1796671.0
8,2020/04/15,2020/04/15,3336,2020/04/15,3467,2020/04/15,612489.0
9,2020/04/16,2020/04/16,3297,2020/04/16,3457,2020/04/16,1299774.0
10,2020/04/17,2020/04/17,3305,2020/04/17,3449,2020/04/17,2261863.0
11,2020/04/18,2020/04/18,3296,2020/04/18,3441,2020/04/18,2539870.0
12,2020/04/19,2020/04/19,3285,2020/04/19,3432,2020/04/19,585309.0
13,2020/04/20,2020/04/20,3258,2020/04/20,3423,2020/04/20,1987016.0
14,2020/04/21,2020/04/21,3250,2020/04/21,3414,2020/04/21,1665851.0
15,2020/04/22,2020/04/22,3241,2020/04/22,3402,2020/04/22,663186.0
16,2020/04/23,2020/04/23,3232,2020/04/23,3391,2020/04/23,1964816.0
17,2020/04/24,2020/04/24,3216,2020/04/24,3378,2020/04/24,1854381.0
18,2020/04/25,2020/04/25,3189,2020/04/25,3366,2020/04/25,2069515.0
19,2020/04/26,2020/04/26,3177,2020/04/26,3354,2020/04/26,3150015.0
20,2020/04/27,2020/04/27,3166,2020/04/27,3342,2020/04/27,2895437.0
21,2020/04/28,2020/04/28,3160,2020/04/28,3330,2020/04/28,2582817.0
22,2020/04/29,2020/04/29,3243,2020/04/29,3321,2020/04/29,138875.0
23,2020/04/30,2020/04/30,3329,2020/04/30,3316,2020/04/30,2532189.0
24,2020/05/01,2020/05/01,3439,2020/05/01,3315,2020/05/01,1243592.0
25,2020/05/02,2020/05/02,3413,2020/05/02,3315,2020/05/02,2230739.0
26,2020/05/03,2020/05/03,3439,2020/05/03,3317,2020/05/03,275812.0
27,2020/05/04,2020/05/04,3406,2020/05/04,3319,2020/05/04,1442559.0
28,2020/05/05,2020/05/05,3377,2020/05/05,3320,2020/05/05,2321376.0
29,2020/05/06,2020/05/06,3359,2020/05/06,3318,2020/05/06,3058976.0
30,2020/05/07,2020/05/07,3341,2020/05/07,3315,2020/05/07,2031835.0
31,2020/05/08,2020/05/08,3323,2020/05/08,3313,2020/05/08,1671280.0
32,2020/05/09,2020/05/09,3327,2020/05/09,3311,2020/05/09,3244675.0
33,2020/05/10,2020/05/10,3232,2020/05/10,3307,2020/05/10,782535.0
34,2020/05/11,2020/05/11,3199,2020/05/11,3301,2020/05/11,1701023.0
35,2020/05/12,2020/05/12,3167,2020/05/12,3293,2020/05/12,1696580.0
36,2020/05/13,2020/05/13,3139,2020/05/13,3284,2020/05/13,260942.0
37,2020/05/14,2020/05/14,3124,2020/05/14,3275,2020/05/14,1424279.0
38,2020/05/15,2020/05/15,3132,2020/05/15,3268,2020/05/15,2216243.0
39,2020/05/16,2020/05/16,3146,2020/05/16,3263,2020/05/16,2600607.0
40,2020/05/17,2020/05/17,3164,2020/05/17,3258,2020/05/17,2451729.0
41,2020/05/18,2020/05/18,3179,2020/05/18,3255,2020/05/18,1316971.0
42,2020/05/19,2020/05/19,3136,2020/05/19,3250,2020/05/19,2294338.0
43,2020/05/20,2020/05/20,3160,2020/05/20,3246,2020/05/20,1858271.0
44,2020/05/21,2020/05/21,3221,2020/05/21,3245,2020/05/21,1636303.0
45,2020/05/22,2020/05/22,3273,2020/05/22,3246,2020/05/22,1934979.0
46,2020/05/23,2020/05/23,3257,2020/05/23,3247,2020/05/23,3763136.0
47,2020/05/24,2020/05/24,3210,2020/05/24,3247,2020/05/24,1639912.0
48,2020/05/25,2020/05/25,3208,2020/05/25,3248,2020/05/25,1061901.0
49,2020/05/26,2020/05/26,3256,2020/05/26,3250,2020/05/26,1676187.0
50,2020/05/27,2020/05/27,3235,2020/05/27,3253,2020/05/27,1577883.0
51,2020/05/28,2020/05/28,3205,2020/05/28,3254,2020/05/28,1518903.0
52,2020/05/29,2020/05/29,3192,2020/05/29,3252,2020/05/29,2722873.0
53,2020/05/30,2020/05/30,3161,2020/05/30,3247,2020/05/30,2014418.0
54,2020/05/31,2020/05/31,3107,2020/05/31,3236,2020/05/31,2441112.0
55,2020/06/01,2020/06/01,3052,2020/06/01,3224,2020/06/01,1779940.0
56,2020/06/02,2020/06/02,2965,2020/06/02,3208,2020/06/02,3023629.0
57,2020/06/03,2020/06/03,3019,2020/06/03,3195,2020/06/03,971304.0
58,2020/06/04,2020/06/04,3028,2020/06/04,3183,2020/06/04,1237061.0
59,2020/06/05,2020/06/05,3067,2020/06/05,3174,2020/06/05,2896194.0
60,2020/06/06,2020/06/06,3084,2020/06/06,3165,2020/06/06,2251598.0
61,2020/06/07,2020/06/07,3094,2020/06/07,3157,2020/06/07,1658826.0
62,2020/06/08,2020/06/08,3109,2020/06/08,3150,2020/06/08,1611835.0
63,2020/06/09,2020/06/09,3138,2020/06/09,3147,2020/06/09,1906274.0
64,2020/06/10,2020/06/10,3121,2020/06/10,3144,2020/06/10,2774135.0
65,2020/06/11,2020/06/11,3099,2020/06/11,3142,2020/06/11,632362.0
66,2020/06/12,2020/06/12,2979,2020/06/12,3137,2020/06/12,1390415.0
67,2020/06/13,2020/06/13,2917,2020/06/13,3130,2020/06/13,2140698.0
68,2020/06/14,2020/06/14,2927,2020/06/14,3123,2020/06/14,820161.0
69,2020/06/15,2020/06/15,2843,2020/06/15,3113,2020/06/15,2078684.0
70,2020/06/16,2020/06/16,2867,2020/06/16,3103,2020/06/16,1557293.0
71,2020/06/17,2020/06/17,2969,2020/06/17,3096,2020/06/17,782398.0
72,2020/06/18,2020/06/18,3016,2020/06/18,3092,2020/06/18,1023845.0
73,2020/06/19,2020/06/19,3031,2020/06/19,3088,2020/06/19,2812017.0
74,2020/06/20,2020/06/20,3038,2020/06/20,3082,2020/06/20,1570462.0
75,2020/06/21,2020/06/21,3024,2020/06/21,3073,2020/06/21,124612.0
76,2020/06/22,2020/06/22,2989,2020/06/22,3065,2020/06/22,2508996.0
77,2020/06/23,2020/06/23,2996,2020/06/23,3057,2020/06/23,1904528.0
78,2020/06/24,2020/06/24,2991,2020/06/24,3050,2020/06/24,1000.0
79,2020/06/25,2020/06/25,3021,2020/06/25,3042,2020/06/25,2272681.0
80,2020/06/26,2020/06/26,3044,2020/06/26,3036,2020/06/26,2188820.0
81,2020/06/27,2020/06/27,3037,2020/06/27,3030,2020/06/27,1797354.0
82,2020/06/28,2020/06/28,3017,2020/06/28,3025,2020/06/28,1914869.0
83,2020/06/29,2020/06/29,2999,2020/06/29,3019,2020/06/29,1715527.0
84,2020/06/30,2020/06/30,2936,2020/06/30,3013,2020/06/30,2793428.0
85,2020/07/01,2020/07/01,2904,2020/07/01,3008,2020/07/01,1309833.0
86,2020/07/02,2020/07/02,2917,2020/07/02,3007,2020/07/02,2013022.0
87,2020/07/03,2020/07/03,2937,2020/07/03,3004,2020/07/03,2412816.0
88,2020/07/04,2020/07/04,2994,2020/07/04,3003,2020/07/04,2331841.0
89,2020/07/05,2020/07/05,2981,2020/07/05,3000,2020/07/05,1350257.0
90,2020/07/06,2020/07/06,3013,2020/07/06,2998,2020/07/06,2772474.0
91,2020/07/07,2020/07/07,2992,2020/07/07,2994,2020/07/07,1379070.0
92,2020/07/08,2020/07/08,2981,2020/07/08,2990,2020/07/08,83475.0
93,2020/07/09,2020/07/09,2992,2020/07/09,2985,2020/07/09,1696549.0
94,2020/07/10,2020/07/10,2987,2020/07/10,2981,2020/07/10,2664479.0
95,2020/07/11,2020/07/11,2983,2020/07/11,2977,2020/07/11,2194129.0
96,2020/07/12,2020/07/12,2967,2020/07/12,2977,2020/07/12,1296622.0
97,2020/07/13,2020/07/13,2964,2020/07/13,2978,2020/07/13,2097847.0
98,2020/07/14,2020/07/14,2959,2020/07/14,2979,2020/07/14,2199614.0
99,2020/07/15,2020/07/15,2970,2020/07/15,2983,2020/07/15,487877.0
100,2020/07/16,2020/07/16,3079,2020/07/16,2990,2020/07/16,1910232.0
101,2020/07/17,2020/07/17,3154,2020/07/17,2997,2020/07/17,1737410.0
102,2020/07/18,2020/07/18,3251,2020/07/18,3004,2020/07/18,1568332.0
103,2020/07/19,2020/07/19,3208,2020/07/19,3010,2020/07/19,228918.0
104,2020/07/20,2020/07/20,3172,2020/07/20,3015,2020/07/20,1758884.0
105,2020/07/21,2020/07/21,3156,2020/07/21,3019,2020/07/21,1547950.0
106,2020/07/22,2020/07/22,3108,2020/07/22,3023,2020/07/22,58085.0
107,2020/07/23,2020/07/23,3088,2020/07/23,3026,2020/07/23,1618604.0
108,2020/07/24,2020/07/24,3031,2020/07/24,3028,2020/07/24,1882534.0
109,2020/07/25,2020/07/25,2958,2020/07/25,3025,2020/07/25,2641183.0
110,2020/07/26,2020/07/26,2915,2020/07/26,3021,2020/07/26,562816.0
111,2020/07/27,2020/07/27,2884,2020/07/27,3016,2020/07/27,2000927.0
112,2020/07/28,2020/07/28,2840,2020/07/28,3010,2020/07/28,2385266.0
113,2020/07/29,2020/07/29,2847,2020/07/29,3005,2020/07/29,2084957.0
114,2020/07/30,2020/07/30,2865,2020/07/30,3003,2020/07/30,2665577.0
115,2020/07/31,2020/07/31,2907,2020/07/31,3003,2020/07/31,882849.0
116,2020/08/01,2020/08/01,2892,2020/08/01,3002,2020/08/01,2619164.0
117,2020/08/02,2020/08/02,2884,2020/08/02,3000,2020/08/02,689792.0
118,2020/08/03,2020/08/03,2933,2020/08/03,2998,2020/08/03,2001538.0
119,2020/08/04,2020/08/04,2917,2020/08/04,2996,2020/08/04,1727699.0
120,2020/08/05,2020/08/05,2909,2020/08/05,2993,2020/08/05,496138.0
121,2020/08/06,2020/08/06,2934,2020/08/06,2991,2020/08/06,1213456.0
122,2020/08/07,2020/08/07,2957,2020/08/07,2990,2020/08/07,2330713.0
123,2020/08/08,2020/08/08,3011,2020/08/08,2991,2020/08/08,2210681.0
124,2020/08/09,2020/08/09,3029,2020/08/09,2992,2020/08/09,1178482.0
125,2020/08/10,2020/08/10,3031,2020/08/10,2994,2020/08/10,2760550.0
126,2020/08/11,2020/08/11,3009,2020/08/11,2995,2020/08/11,858097.0
127,2020/08/12,2020/08/12,3013,2020/08/12,2997,2020/08/12,2693086.0
128,2020/08/13,2020/08/13,2973,2020/08/13,2997,2020/08/13,1505609.0
129,2020/08/14,2020/08/14,2945,2020/08/14,2996,2020/08/14,2622936.0
130,2020/08/15,2020/08/15,2892,2020/08/15,2990,2020/08/15,895987.0
131,2020/08/16,2020/08/16,2892,2020/08/16,2981,2020/08/16,2240490.0
132,2020/08/17,2020/08/17,2875,2020/08/17,2969,2020/08/17,174718.0
133,2020/08/18,2020/08/18,2836,2020/08/18,2956,2020/08/18,1526972.0
134,2020/08/19,2020/08/19,2818,2020/08/19,2944,2020/08/19,1733447.0
135,2020/08/20,2020/08/20,2823,2020/08/20,2933,2020/08/20,2628875.0
136,2020/08/21,2020/08/21,2895,2020/08/21,2926,2020/08/21,2263543.0
137,2020/08/22,2020/08/22,2908,2020/08/22,2920,2020/08/22,1704161.0
138,2020/08/23,2020/08/23,2928,2020/08/23,2917,2020/08/23,2355718.0
139,2020/08/24,2020/08/24,2911,2020/08/24,2915,2020/08/24,2080703.0
140,2020/08/25,2020/08/25,2893,2020/08/25,2915,2020/08/25,1855006.0
141,2020/08/26,2020/08/26,2893,2020/08/26,2915,2020/08/26,1947289.0
142,2020/08/27,2020/08/27,2904,2020/08/27,2917,2020/08/27,2565041.0
143,2020/08/28,2020/08/28,2922,2020/08/28,2919,2020/08/28,1481849.0
144,2020/08/29,2020/08/29,2918,2020/08/29,2921,2020/08/29,3085864.0
145,2020/08/30,2020/08/30,2901,2020/08/30,2921,2020/08/30,1397838.0
146,2020/08/31,2020/08/31,2875,2020/08/31,2920,2020/08/31,1974923.0
147,2020/09/01,2020/09/01,2837,2020/09/01,2919,2020/09/01,1675818.0
148,2020/09/02,2020/09/02,2784,2020/09/02,2914,2020/09/02,1557001.0
149,2020/09/03,2020/09/03,2783,2020/09/03,2909,2020/09/03,2712975.0
150,2020/09/04,2020/09/04,2745,2020/09/04,2904,2020/09/04,2499352.0
151,2020/09/05,2020/09/05,2787,2020/09/05,2899,2020/09/05,1661332.0
152,2020/09/06,2020/09/06,2831,2020/09/06,2895,2020/09/06,1741630.0
153,2020/09/07,2020/09/07,2872,2020/09/07,2890,2020/09/07,2498671.0
154,2020/09/08,2020/09/08,2914,2020/09/08,2886,2020/09/08,1618559.0
155,2020/09/09,2020/09/09,2961,2020/09/09,2884,2020/09/09,1686508.0
156,2020/09/10,2020/09/10,2972,2020/09/10,2883,2020/09/10,1944500.0
157,2020/09/11,2020/09/11,2994,2020/09/11,2882,2020/09/11,2284158.0
158,2020/09/12,2020/09/12,3011,2020/09/12,2884,2020/09/12,1934024.0
159,2020/09/13,2020/09/13,2985,2020/09/13,2885,2020/09/13,1896057.0
160,2020/09/14,2020/09/14,2974,2020/09/14,2888,2020/09/14,1760802.0
161,2020/09/15,2020/09/15,2947,2020/09/15,2889,2020/09/15,313892.0
162,2020/09/16,2020/09/16,2974,2020/09/16,2893,2020/09/16,1095811.0
163,2020/09/17,2020/09/17,3075,2020/09/17,2901,2020/09/17,2360828.0
164,2020/09/18,2020/09/18,3123,2020/09/18,2911,2020/09/18,1358548.0
165,2020/09/19,2020/09/19,3083,2020/09/19,2920,2020/09/19,2642093.0
166,2020/09/20,2020/09/20,3029,2020/09/20,2924,2020/09/20,184287.0
167,2020/09/21,2020/09/21,3009,2020/09/21,2927,2020/09/21,457192.0
