Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
0,2020/04/08,2020/04/08,3199,2020/04/08,3039,2020/04/08,3672948.0
1,2020/04/09,2020/04/09,3238,2020/04/09,3050,2020/04/09,2216256.0
2,2020/04/10,2020/04/10,3278,2020/04/10,3061,2020/04/10,1365927.0
3,2020/04/11,2020/04/11,3289,2020/04/11,3073,2020/04/11,3756249.0
4,2020/04/12,2020/04/12,3298,2020/04/12,3085,2020/04/12,2332779.0
5,2020/04/13,2020/04/13,3326,2020/04/13,3098,2020/04/13,2050533.0
6,2020/04/14,2020/04/14,3308,2020/04/14,3110,2020/04/14,2182669.0
7,2020/04/15,2020/04/15,3283,2020/04/15,3121,2020/04/15,932620.0
8,2020/04/16,2020/04/16,3228,2020/04/16,3130,2020/04/16,1591848.0
9,2020/04/17,2020/04/17,3183,2020/04/17,3138,2020/04/17,2861912.0
10,2020/04/18,2020/04/18,3107,2020/04/18,3143,2020/04/18,4168206.0
11,2020/04/19,2020/04/19,3015,2020/04/19,3145,2020/04/19,793363.0
12,2020/04/20,2020/04/20,3042,2020/04/20,3146,2020/04/20,2657718.0
13,2020/04/21,2020/04/21,3099,2020/04/21,3149,2020/04/21,2291853.0
14,2020/04/22,2020/04/22,3139,2020/04/22,3152,2020/04/22,993771.0
15,2020/04/23,2020/04/23,3145,2020/04/23,3155,2020/04/23,2161356.0
16,2020/04/24,2020/04/24,3131,2020/04/24,3157,2020/04/24,2377166.0
17,2020/04/25,2020/04/25,3059,2020/04/25,3157,2020/04/25,2491773.0
18,2020/04/26,2020/04/26,3066,2020/04/26,3158,2020/04/26,3318842.0
19,2020/04/27,2020/04/27,3088,2020/04/27,3158,2020/04/27,3316214.0
20,2020/04/28,2020/04/28,3093,2020/04/28,3158,2020/04/28,3221520.0
21,2020/04/29,2020/04/29,3082,2020/04/29,3159,2020/04/29,178864.0
22,2020/04/30,2020/04/30,3082,2020/04/30,3159,2020/04/30,3397623.0
23,2020/05/01,2020/05/01,3112,2020/05/01,3159,2020/05/01,1653039.0
24,2020/05/02,2020/05/02,3145,2020/05/02,3160,2020/05/02,2733299.0
