Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
1,2020/04/08,2020/04/08,2997,2020/04/08,2876,2020/04/08,9836591.0
2,2020/04/09,2020/04/09,3006,2020/04/09,2881,2020/04/09,6340809.0
3,2020/04/10,2020/04/10,2993,2020/04/10,2885,2020/04/10,4096499.0
4,2020/04/11,2020/04/11,2990,2020/04/11,2889,2020/04/11,12191003.0
5,2020/04/12,2020/04/12,2982,2020/04/12,2894,2020/04/12,7119479.0
6,2020/04/13,2020/04/13,3003,2020/04/13,2901,2020/04/13,5576948.0
7,2020/04/14,2020/04/14,3005,2020/04/14,2909,2020/04/14,6005617.0
8,2020/04/15,2020/04/15,3013,2020/04/15,2918,2020/04/15,2177870.0
9,2020/04/16,2020/04/16,3022,2020/04/16,2927,2020/04/16,4091619.0
10,2020/04/17,2020/04/17,3025,2020/04/17,2935,2020/04/17,7554103.0
11,2020/04/18,2020/04/18,3030,2020/04/18,2943,2020/04/18,10573851.0
12,2020/04/19,2020/04/19,3011,2020/04/19,2949,2020/04/19,2232424.0
13,2020/04/20,2020/04/20,2948,2020/04/20,2954,2020/04/20,7121618.0
14,2020/04/21,2020/04/21,2952,2020/04/21,2958,2020/04/21,6494094.0
15,2020/04/22,2020/04/22,2975,2020/04/22,2963,2020/04/22,2266863.0
16,2020/04/23,2020/04/23,2974,2020/04/23,2968,2020/04/23,6141074.0
17,2020/04/24,2020/04/24,2968,2020/04/24,2973,2020/04/24,6548180.0
18,2020/04/25,2020/04/25,2945,2020/04/25,2976,2020/04/25,7952120.0
19,2020/04/26,2020/04/26,2901,2020/04/26,2976,2020/04/26,10415362.0
20,2020/04/27,2020/04/27,2895,2020/04/27,2975,2020/04/27,9828755.0
21,2020/04/28,2020/04/28,2912,2020/04/28,2975,2020/04/28,8693995.0
22,2020/04/29,2020/04/29,2912,2020/04/29,2975,2020/04/29,505699.0
23,2020/04/30,2020/04/30,2947,2020/04/30,2976,2020/04/30,9728171.0
24,2020/05/01,2020/05/01,3017,2020/05/01,2979,2020/05/01,5379846.0
25,2020/05/02,2020/05/02,3026,2020/05/02,2981,2020/05/02,7926854.0
26,2020/05/03,2020/05/03,3085,2020/05/03,2984,2020/05/03,1067212.0
27,2020/05/04,2020/05/04,3083,2020/05/04,2986,2020/05/04,5535828.0
28,2020/05/05,2020/05/05,3095,2020/05/05,2990,2020/05/05,7894964.0
29,2020/05/06,2020/05/06,3099,2020/05/06,2993,2020/05/06,11810775.0
30,2020/05/07,2020/05/07,3079,2020/05/07,2996,2020/05/07,7585579.0
31,2020/05/08,2020/05/08,3069,2020/05/08,2998,2020/05/08,5796586.0
32,2020/05/09,2020/05/09,3032,2020/05/09,2999,2020/05/09,11908897.0
33,2020/05/10,2020/05/10,2979,2020/05/10,2999,2020/05/10,2757614.0
34,2020/05/11,2020/05/11,2955,2020/05/11,2997,2020/05/11,5494684.0
35,2020/05/12,2020/05/12,2952,2020/05/12,2996,2020/05/12,6121261.0
36,2020/05/13,2020/05/13,2949,2020/05/13,2995,2020/05/13,1060137.0
37,2020/05/14,2020/05/14,2968,2020/05/14,2993,2020/05/14,5511874.0
38,2020/05/15,2020/05/15,2989,2020/05/15,2993,2020/05/15,7175151.0
39,2020/05/16,2020/05/16,2997,2020/05/16,2992,2020/05/16,9876716.0
40,2020/05/17,2020/05/17,2982,2020/05/17,2990,2020/05/17,7910462.0
41,2020/05/18,2020/05/18,2981,2020/05/18,2989,2020/05/18,5242961.0
42,2020/05/19,2020/05/19,2952,2020/05/19,2987,2020/05/19,8589470.0
43,2020/05/20,2020/05/20,2940,2020/05/20,2987,2020/05/20,6950342.0
44,2020/05/21,2020/05/21,2910,2020/05/21,2985,2020/05/21,6021979.0
45,2020/05/22,2020/05/22,2887,2020/05/22,2982,2020/05/22,8352118.0
46,2020/05/23,2020/05/23,2849,2020/05/23,2978,2020/05/23,14581123.0
47,2020/05/24,2020/05/24,2801,2020/05/24,2972,2020/05/24,6996592.0
48,2020/05/25,2020/05/25,2789,2020/05/25,2967,2020/05/25,3474445.0
49,2020/05/26,2020/05/26,2807,2020/05/26,2964,2020/05/26,6066064.0
50,2020/05/27,2020/05/27,2812,2020/05/27,2961,2020/05/27,5062407.0
51,2020/05/28,2020/05/28,2819,2020/05/28,2958,2020/05/28,6044376.0
52,2020/05/29,2020/05/29,2828,2020/05/29,2955,2020/05/29,9576811.0
53,2020/05/30,2020/05/30,2828,2020/05/30,2951,2020/05/30,7383197.0
54,2020/05/31,2020/05/31,2804,2020/05/31,2944,2020/05/31,8844420.0
55,2020/06/01,2020/06/01,2790,2020/06/01,2937,2020/06/01,6967604.0
56,2020/06/02,2020/06/02,2780,2020/06/02,2926,2020/06/02,10375911.0
57,2020/06/03,2020/06/03,2789,2020/06/03,2917,2020/06/03,3367243.0
58,2020/06/04,2020/06/04,2789,2020/06/04,2906,2020/06/04,5127697.0
59,2020/06/05,2020/06/05,2789,2020/06/05,2896,2020/06/05,12401149.0
60,2020/06/06,2020/06/06,2771,2020/06/06,2886,2020/06/06,10645135.0
61,2020/06/07,2020/06/07,2748,2020/06/07,2875,2020/06/07,7370612.0
62,2020/06/08,2020/06/08,2713,2020/06/08,2864,2020/06/08,6616985.0
63,2020/06/09,2020/06/09,2701,2020/06/09,2855,2020/06/09,7350510.0
64,2020/06/10,2020/06/10,2705,2020/06/10,2847,2020/06/10,11028240.0
65,2020/06/11,2020/06/11,2703,2020/06/11,2839,2020/06/11,2214614.0
66,2020/06/12,2020/06/12,2690,2020/06/12,2830,2020/06/12,5929994.0
67,2020/06/13,2020/06/13,2654,2020/06/13,2819,2020/06/13,8357555.0
68,2020/06/14,2020/06/14,2594,2020/06/14,2806,2020/06/14,2565452.0
69,2020/06/15,2020/06/15,2517,2020/06/15,2790,2020/06/15,7702803.0
70,2020/06/16,2020/06/16,2533,2020/06/16,2775,2020/06/16,6479686.0
71,2020/06/17,2020/06/17,2595,2020/06/17,2762,2020/06/17,2540597.0
72,2020/06/18,2020/06/18,2684,2020/06/18,2753,2020/06/18,4680886.0
73,2020/06/19,2020/06/19,2688,2020/06/19,2745,2020/06/19,11939319.0
74,2020/06/20,2020/06/20,2663,2020/06/20,2737,2020/06/20,5916471.0
75,2020/06/21,2020/06/21,2617,2020/06/21,2728,2020/06/21,381131.0
76,2020/06/22,2020/06/22,2573,2020/06/22,2719,2020/06/22,10098411.0
77,2020/06/23,2020/06/23,2552,2020/06/23,2710,2020/06/23,6928118.0
78,2020/06/24,2020/06/24,2536,2020/06/24,2702,2020/06/24,15000.0
79,2020/06/25,2020/06/25,2536,2020/06/25,2693,2020/06/25,8267117.0
80,2020/06/26,2020/06/26,2559,2020/06/26,2684,2020/06/26,8727490.0
81,2020/06/27,2020/06/27,2555,2020/06/27,2676,2020/06/27,7044323.0
82,2020/06/28,2020/06/28,2529,2020/06/28,2666,2020/06/28,7690985.0
83,2020/06/29,2020/06/29,2520,2020/06/29,2655,2020/06/29,6194019.0
84,2020/06/30,2020/06/30,2525,2020/06/30,2646,2020/06/30,10634303.0
85,2020/07/01,2020/07/01,2539,2020/07/01,2638,2020/07/01,4960437.0
86,2020/07/02,2020/07/02,2540,2020/07/02,2630,2020/07/02,7902533.0
87,2020/07/03,2020/07/03,2553,2020/07/03,2622,2020/07/03,9725491.0
88,2020/07/04,2020/07/04,2556,2020/07/04,2614,2020/07/04,9490573.0
89,2020/07/05,2020/07/05,2547,2020/07/05,2606,2020/07/05,5159822.0
90,2020/07/06,2020/07/06,2535,2020/07/06,2598,2020/07/06,9957514.0
