Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
1,2020/04/08,2020/04/08,1023,2020/04/08,1022,2020/04/08,10669410.0
2,2020/04/09,2020/04/09,1025,2020/04/09,1023,2020/04/09,6728983.0
3,2020/04/10,2020/04/10,1024,2020/04/10,1024,2020/04/10,4448708.0
4,2020/04/11,2020/04/11,1017,2020/04/11,1025,2020/04/11,12520077.0
5,2020/04/12,2020/04/12,1011,2020/04/12,1025,2020/04/12,7499987.0
6,2020/04/13,2020/04/13,1008,2020/04/13,1025,2020/04/13,6699649.0
7,2020/04/14,2020/04/14,1015,2020/04/14,1026,2020/04/14,6893341.0
8,2020/04/15,2020/04/15,1025,2020/04/15,1027,2020/04/15,2194110.0
9,2020/04/16,2020/04/16,1031,2020/04/16,1027,2020/04/16,4237608.0
10,2020/04/17,2020/04/17,1033,2020/04/17,1028,2020/04/17,7817763.0
11,2020/04/18,2020/04/18,1030,2020/04/18,1028,2020/04/18,10778936.0
12,2020/04/19,2020/04/19,1024,2020/04/19,1028,2020/04/19,2351213.0
13,2020/04/20,2020/04/20,1028,2020/04/20,1028,2020/04/20,7530633.0
14,2020/04/21,2020/04/21,1049,2020/04/21,1029,2020/04/21,6917413.0
15,2020/04/22,2020/04/22,1062,2020/04/22,1031,2020/04/22,2897478.0
16,2020/04/23,2020/04/23,1083,2020/04/23,1033,2020/04/23,6748871.0
17,2020/04/24,2020/04/24,1081,2020/04/24,1035,2020/04/24,6730470.0
18,2020/04/25,2020/04/25,1069,2020/04/25,1037,2020/04/25,8141000.0
19,2020/04/26,2020/04/26,1050,2020/04/26,1037,2020/04/26,11137330.0
20,2020/04/27,2020/04/27,1041,2020/04/27,1037,2020/04/27,10956987.0
21,2020/04/28,2020/04/28,1054,2020/04/28,1037,2020/04/28,10405383.0
22,2020/04/29,2020/04/29,1062,2020/04/29,1038,2020/04/29,621779.0
23,2020/04/30,2020/04/30,1062,2020/04/30,1038,2020/04/30,9750731.0
24,2020/05/01,2020/05/01,1062,2020/05/01,1038,2020/05/01,5822510.0
25,2020/05/02,2020/05/02,1054,2020/05/02,1038,2020/05/02,8299527.0
26,2020/05/03,2020/05/03,1044,2020/05/03,1038,2020/05/03,1182374.0
27,2020/05/04,2020/05/04,1040,2020/05/04,1038,2020/05/04,5755367.0
28,2020/05/05,2020/05/05,1046,2020/05/05,1039,2020/05/05,8379299.0
29,2020/05/06,2020/05/06,1044,2020/05/06,1040,2020/05/06,13193888.0
30,2020/05/07,2020/05/07,1042,2020/05/07,1041,2020/05/07,8238909.0
31,2020/05/08,2020/05/08,1039,2020/05/08,1041,2020/05/08,5284249.0
32,2020/05/09,2020/05/09,1043,2020/05/09,1042,2020/05/09,11400493.0
33,2020/05/10,2020/05/10,1035,2020/05/10,1042,2020/05/10,2873728.0
34,2020/05/11,2020/05/11,1040,2020/05/11,1043,2020/05/11,5674057.0
35,2020/05/12,2020/05/12,1051,2020/05/12,1044,2020/05/12,6254926.0
36,2020/05/13,2020/05/13,1062,2020/05/13,1046,2020/05/13,917432.0
37,2020/05/14,2020/05/14,1069,2020/05/14,1048,2020/05/14,5527798.0
38,2020/05/15,2020/05/15,1072,2020/05/15,1050,2020/05/15,7757298.0
39,2020/05/16,2020/05/16,1071,2020/05/16,1051,2020/05/16,10436232.0
40,2020/05/17,2020/05/17,1057,2020/05/17,1052,2020/05/17,8167684.0
41,2020/05/18,2020/05/18,1054,2020/05/18,1053,2020/05/18,5706184.0
42,2020/05/19,2020/05/19,1061,2020/05/19,1054,2020/05/19,9218063.0
43,2020/05/20,2020/05/20,1072,2020/05/20,1055,2020/05/20,7712616.0
44,2020/05/21,2020/05/21,1074,2020/05/21,1056,2020/05/21,6022188.0
45,2020/05/22,2020/05/22,1075,2020/05/22,1056,2020/05/22,7849554.0
46,2020/05/23,2020/05/23,1067,2020/05/23,1056,2020/05/23,13676237.0
47,2020/05/24,2020/05/24,1064,2020/05/24,1055,2020/05/24,5714298.0
48,2020/05/25,2020/05/25,1067,2020/05/25,1055,2020/05/25,3681053.0
49,2020/05/26,2020/05/26,1075,2020/05/26,1056,2020/05/26,6414121.0
50,2020/05/27,2020/05/27,1079,2020/05/27,1057,2020/05/27,5318259.0
51,2020/05/28,2020/05/28,1078,2020/05/28,1058,2020/05/28,5972768.0
52,2020/05/29,2020/05/29,1077,2020/05/29,1059,2020/05/29,9963099.0
53,2020/05/30,2020/05/30,1069,2020/05/30,1059,2020/05/30,6537893.0
54,2020/05/31,2020/05/31,1067,2020/05/31,1059,2020/05/31,7942900.0
55,2020/06/01,2020/06/01,1068,2020/06/01,1060,2020/06/01,6178479.0
56,2020/06/02,2020/06/02,1077,2020/06/02,1061,2020/06/02,11127078.0
57,2020/06/03,2020/06/03,1093,2020/06/03,1062,2020/06/03,3491935.0
58,2020/06/04,2020/06/04,1094,2020/06/04,1064,2020/06/04,5231396.0
59,2020/06/05,2020/06/05,1086,2020/06/05,1065,2020/06/05,11584493.0
60,2020/06/06,2020/06/06,1081,2020/06/06,1067,2020/06/06,8955211.0
61,2020/06/07,2020/06/07,1087,2020/06/07,1068,2020/06/07,6175788.0
62,2020/06/08,2020/06/08,1090,2020/06/08,1070,2020/06/08,6107078.0
63,2020/06/09,2020/06/09,1096,2020/06/09,1072,2020/06/09,7484108.0
64,2020/06/10,2020/06/10,1100,2020/06/10,1074,2020/06/10,10833037.0
65,2020/06/11,2020/06/11,1110,2020/06/11,1076,2020/06/11,2438754.0
66,2020/06/12,2020/06/12,1110,2020/06/12,1078,2020/06/12,5340096.0
67,2020/06/13,2020/06/13,1093,2020/06/13,1078,2020/06/13,7677936.0
68,2020/06/14,2020/06/14,1086,2020/06/14,1079,2020/06/14,2477415.0
69,2020/06/15,2020/06/15,1093,2020/06/15,1080,2020/06/15,7114860.0
70,2020/06/16,2020/06/16,1106,2020/06/16,1081,2020/06/16,5763091.0
