Index,Timestamps_close,Close,Timestamps_average,Average
0,2020/04/08,4134618,2020/04/08,4522980
1,2020/04/09,4009639,2020/04/09,4501601
2,2020/04/10,3903868,2020/04/10,4473252
3,2020/04/11,3853462,2020/04/11,4442300
4,2020/04/12,3941327,2020/04/12,4415261
5,2020/04/13,4034613,2020/04/13,4392554
6,2020/04/14,4013946,2020/04/14,4369056
7,2020/04/15,3915445,2020/04/15,4339586
8,2020/04/16,3742945,2020/04/16,4301351
9,2020/04/17,3576253,2020/04/17,4254764
10,2020/04/18,3598013,2020/04/18,4209432
11,2020/04/19,3659431,2020/04/19,4168190
12,2020/04/20,3770393,2020/04/20,4134050
13,2020/04/21,3862609,2020/04/21,4106302
14,2020/04/22,3946547,2020/04/22,4080817
15,2020/04/23,3919791,2020/04/23,4050646
16,2020/04/24,3852179,2020/04/24,4019770
17,2020/04/25,3754224,2020/04/25,3990596
18,2020/04/26,3687766,2020/04/26,3964659
19,2020/04/27,3718432,2020/04/27,3945456
20,2020/04/28,3736057,2020/04/28,3930581
21,2020/04/29,3714145,2020/04/29,3912210
22,2020/04/30,3678669,2020/04/30,3891390
23,2020/05/01,3731969,2020/05/01,3874733
24,2020/05/02,3739220,2020/05/02,3860997
25,2020/05/03,3667634,2020/05/03,3845550
26,2020/05/04,3606176,2020/05/04,3830740
27,2020/05/05,3531070,2020/05/05,3814697
28,2020/05/06,3587559,2020/05/06,3800054
29,2020/05/07,3638664,2020/05/07,3784222
30,2020/05/08,3644997,2020/05/08,3767901
31,2020/05/09,3552268,2020/05/09,3752655
32,2020/05/10,3536578,2020/05/10,3740412
33,2020/05/11,3642018,2020/05/11,3733364
34,2020/05/12,3748453,2020/05/12,3726935
35,2020/05/13,3838414,2020/05/13,3720395
36,2020/05/14,3788850,2020/05/14,3712892
37,2020/05/15,3691664,2020/05/15,3705432
38,2020/05/16,3640427,2020/05/16,3702015
39,2020/05/17,3525063,2020/05/17,3700309
40,2020/05/18,3478501,2020/05/18,3696325
41,2020/05/19,3483324,2020/05/19,3690455
42,2020/05/20,3503895,2020/05/20,3681572
43,2020/05/21,3504177,2020/05/21,3669624
44,2020/05/22,3482029,2020/05/22,3654140
45,2020/05/23,3435678,2020/05/23,3638003
46,2020/05/24,3365424,2020/05/24,3621778
47,2020/05/25,3428404,2020/05/25,3610917
48,2020/05/26,3441635,2020/05/26,3602713
49,2020/05/27,3553419,2020/05/27,3597212
50,2020/05/28,3601790,2020/05/28,3592737
51,2020/05/29,3566681,2020/05/29,3587821
52,2020/05/30,3508989,2020/05/30,3582165
53,2020/05/31,3495400,2020/05/31,3574280
54,2020/06/01,3559162,2020/06/01,3568278
55,2020/06/02,3647135,2020/06/02,3567594
56,2020/06/03,3740542,2020/06/03,3572073
57,2020/06/04,3878676,2020/06/04,3583660
58,2020/06/05,3936450,2020/06/05,3595290
59,2020/06/06,3881832,2020/06/06,3603395
60,2020/06/07,3746758,2020/06/07,3606787
61,2020/06/08,3714245,2020/06/08,3612187
62,2020/06/09,3772030,2020/06/09,3620035
63,2020/06/10,3829026,2020/06/10,3626269
64,2020/06/11,3884138,2020/06/11,3630791
65,2020/06/12,3900224,2020/06/12,3632852
66,2020/06/13,3902536,2020/06/13,3636641
67,2020/06/14,3893575,2020/06/14,3643372
68,2020/06/15,3963779,2020/06/15,3654150
69,2020/06/16,3985286,2020/06/16,3669491
70,2020/06/17,4041337,2020/06/17,3688252
71,2020/06/18,4107240,2020/06/18,3709049
72,2020/06/19,4139043,2020/06/19,3730221
73,2020/06/20,4026283,2020/06/20,3747624
74,2020/06/21,3937171,2020/06/21,3762796
75,2020/06/22,3981623,2020/06/22,3780994
76,2020/06/23,4068045,2020/06/23,3804415
77,2020/06/24,4129412,2020/06/24,3827782
78,2020/06/25,4169195,2020/06/25,3852034
79,2020/06/26,4219173,2020/06/26,3874225
80,2020/06/27,4123136,2020/06/27,3891604
81,2020/06/28,4015096,2020/06/28,3906551
82,2020/06/29,3996543,2020/06/29,3922803
83,2020/06/30,3940883,2020/06/30,3937652
84,2020/07/01,3891362,2020/07/01,3948725
85,2020/07/02,3878652,2020/07/02,3956443
86,2020/07/03,3942636,2020/07/03,3963179
87,2020/07/04,3977565,2020/07/04,3966475
88,2020/07/05,3995695,2020/07/05,3968450
89,2020/07/06,4069856,2020/07/06,3974718
90,2020/07/07,4166332,2020/07/07,3988703
91,2020/07/08,4265380,2020/07/08,4007075
92,2020/07/09,4272301,2020/07/09,4023750
93,2020/07/10,4287041,2020/07/10,4039017
94,2020/07/11,4292579,2020/07/11,4052632
95,2020/07/12,4312581,2020/07/12,4066377
96,2020/07/13,4362028,2020/07/13,4081694
97,2020/07/14,4514287,2020/07/14,4102384
98,2020/07/15,4590099,2020/07/15,4123262
99,2020/07/16,4542129,2020/07/16,4141823
