Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume,Moving Avg. 7,Month
0,2020/04/03,2020/04/03,1827,2020/04/03,1767,2020/04/03,2177338,,04
1,2020/04/04,2020/04/04,1819,2020/04/04,1769,2020/04/04,9689435,,04
2,2020/04/05,2020/04/05,1784,2020/04/05,1770,2020/04/05,5292103,,04
3,2020/04/06,2020/04/06,1733,2020/04/06,1768,2020/04/06,7106983,,04
4,2020/04/07,2020/04/07,1721,2020/04/07,1765,2020/04/07,5637673,,04
5,2020/04/08,2020/04/08,1734,2020/04/08,1762,2020/04/08,9968057,,04
6,2020/04/09,2020/04/09,1741,2020/04/09,1761,2020/04/09,5868933,1765.5714285714287,04
7,2020/04/10,2020/04/10,1737,2020/04/10,1759,2020/04/10,3882743,1752.7142857142858,04
8,2020/04/11,2020/04/11,1726,2020/04/11,1758,2020/04/11,11836445,1739.4285714285713,04
9,2020/04/12,2020/04/12,1686,2020/04/12,1756,2020/04/12,7549086,1725.4285714285713,04
10,2020/04/13,2020/04/13,1625,2020/04/13,1752,2020/04/13,6551988,1710.0,04
11,2020/04/14,2020/04/14,1594,2020/04/14,1748,2020/04/14,6183969,1691.857142857143,04
12,2020/04/15,2020/04/15,1522,2020/04/15,1742,2020/04/15,2080822,1661.5714285714287,04
13,2020/04/16,2020/04/16,1518,2020/04/16,1736,2020/04/16,3806440,1629.7142857142858,04
14,2020/04/17,2020/04/17,1590,2020/04/17,1731,2020/04/17,8040294,1608.7142857142858,04
15,2020/04/18,2020/04/18,1639,2020/04/18,1728,2020/04/18,10254761,1596.2857142857142,04
16,2020/04/19,2020/04/19,1661,2020/04/19,1726,2020/04/19,1755778,1592.7142857142858,04
17,2020/04/20,2020/04/20,1670,2020/04/20,1723,2020/04/20,6867110,1599.142857142857,04
18,2020/04/21,2020/04/21,1677,2020/04/21,1721,2020/04/21,6194886,1611.0,04
19,2020/04/22,2020/04/22,1651,2020/04/22,1718,2020/04/22,2686441,1629.4285714285713,04
20,2020/04/23,2020/04/23,1622,2020/04/23,1713,2020/04/23,6177420,1644.2857142857142,04
21,2020/04/24,2020/04/24,1619,2020/04/24,1708,2020/04/24,6074978,1648.4285714285713,04
22,2020/04/25,2020/04/25,1628,2020/04/25,1703,2020/04/25,6813743,1646.857142857143,04
23,2020/04/26,2020/04/26,1616,2020/04/26,1698,2020/04/26,9823310,1640.4285714285713,04
24,2020/04/27,2020/04/27,1598,2020/04/27,1692,2020/04/27,9319675,1630.142857142857,04
25,2020/04/28,2020/04/28,1593,2020/04/28,1686,2020/04/28,8873584,1618.142857142857,04
26,2020/04/29,2020/04/29,1624,2020/04/29,1681,2020/04/29,578483,1614.2857142857142,04
27,2020/04/30,2020/04/30,1642,2020/04/30,1675,2020/04/30,9039684,1617.142857142857,04
28,2020/05/01,2020/05/01,1671,2020/05/01,1670,2020/05/01,4463553,1624.5714285714287,05
29,2020/05/02,2020/05/02,1673,2020/05/02,1664,2020/05/02,6226461,1631.0,05
30,2020/05/03,2020/05/03,1668,2020/05/03,1659,2020/05/03,1024639,1638.4285714285713,05
31,2020/05/04,2020/05/04,1663,2020/05/04,1654,2020/05/04,5084791,1647.7142857142858,05
32,2020/05/05,2020/05/05,1652,2020/05/05,1649,2020/05/05,7807614,1656.142857142857,05
33,2020/05/06,2020/05/06,1641,2020/05/06,1646,2020/05/06,9564009,1658.5714285714287,05
34,2020/05/07,2020/05/07,1636,2020/05/07,1643,2020/05/07,6349552,1657.7142857142858,05
35,2020/05/08,2020/05/08,1627,2020/05/08,1640,2020/05/08,4500338,1651.4285714285713,05
36,2020/05/09,2020/05/09,1621,2020/05/09,1636,2020/05/09,10092887,1644.0,05
37,2020/05/10,2020/05/10,1587,2020/05/10,1631,2020/05/10,2601843,1632.4285714285713,05
38,2020/05/11,2020/05/11,1521,2020/05/11,1624,2020/05/11,5859225,1612.142857142857,05
39,2020/05/12,2020/05/12,1481,2020/05/12,1617,2020/05/12,5927070,1587.7142857142858,05
40,2020/05/13,2020/05/13,1430,2020/05/13,1611,2020/05/13,1087284,1557.5714285714287,05
41,2020/05/14,2020/05/14,1415,2020/05/14,1605,2020/05/14,5213983,1526.0,05
42,2020/05/15,2020/05/15,1451,2020/05/15,1602,2020/05/15,6493879,1500.857142857143,05
43,2020/05/16,2020/05/16,1506,2020/05/16,1602,2020/05/16,8557870,1484.4285714285713,05
44,2020/05/17,2020/05/17,1507,2020/05/17,1599,2020/05/17,6718274,1473.0,05
45,2020/05/18,2020/05/18,1497,2020/05/18,1594,2020/05/18,4525733,1469.5714285714287,05
46,2020/05/19,2020/05/19,1462,2020/05/19,1588,2020/05/19,7542880,1466.857142857143,05
47,2020/05/20,2020/05/20,1454,2020/05/20,1581,2020/05/20,6672781,1470.2857142857142,05
48,2020/05/21,2020/05/21,1443,2020/05/21,1573,2020/05/21,4777115,1474.2857142857142,05
49,2020/05/22,2020/05/22,1440,2020/05/22,1566,2020/05/22,7589674,1472.7142857142858,05
50,2020/05/23,2020/05/23,1458,2020/05/23,1560,2020/05/23,13453337,1465.857142857143,05
51,2020/05/24,2020/05/24,1422,2020/05/24,1554,2020/05/24,6254660,1453.7142857142858,05
52,2020/05/25,2020/05/25,1383,2020/05/25,1546,2020/05/25,3375803,1437.4285714285713,05
53,2020/05/26,2020/05/26,1364,2020/05/26,1537,2020/05/26,7075371,1423.4285714285713,05
54,2020/05/27,2020/05/27,1348,2020/05/27,1529,2020/05/27,5694775,1408.2857142857142,05
55,2020/05/28,2020/05/28,1353,2020/05/28,1521,2020/05/28,5986955,1395.4285714285713,05
56,2020/05/29,2020/05/29,1348,2020/05/29,1512,2020/05/29,9110258,1382.2857142857142,05
57,2020/05/30,2020/05/30,1386,2020/05/30,1503,2020/05/30,5990274,1372.0,05
58,2020/05/31,2020/05/31,1413,2020/05/31,1495,2020/05/31,7992397,1370.7142857142858,05
59,2020/06/01,2020/06/01,1386,2020/06/01,1485,2020/06/01,6135033,1371.142857142857,06
