Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
0,2020/04/08,2020/04/08,511,2020/04/08,529,2020/04/08,14745257.0
1,2020/04/09,2020/04/09,511,2020/04/09,528,2020/04/09,8669420.0
2,2020/04/10,2020/04/10,512,2020/04/10,527,2020/04/10,5129673.0
3,2020/04/11,2020/04/11,513,2020/04/11,526,2020/04/11,16975250.0
4,2020/04/12,2020/04/12,521,2020/04/12,525,2020/04/12,9539831.0
5,2020/04/13,2020/04/13,524,2020/04/13,524,2020/04/13,8284056.0
6,2020/04/14,2020/04/14,526,2020/04/14,523,2020/04/14,8703255.0
7,2020/04/15,2020/04/15,527,2020/04/15,523,2020/04/15,3106688.0
8,2020/04/16,2020/04/16,528,2020/04/16,523,2020/04/16,5673155.0
9,2020/04/17,2020/04/17,528,2020/04/17,523,2020/04/17,11169143.0
10,2020/04/18,2020/04/18,531,2020/04/18,524,2020/04/18,14223904.0
11,2020/04/19,2020/04/19,529,2020/04/19,524,2020/04/19,3579679.0
12,2020/04/20,2020/04/20,528,2020/04/20,524,2020/04/20,12303395.0
13,2020/04/21,2020/04/21,523,2020/04/21,525,2020/04/21,9583023.0
14,2020/04/22,2020/04/22,522,2020/04/22,525,2020/04/22,3880263.0
15,2020/04/23,2020/04/23,523,2020/04/23,524,2020/04/23,10010958.0
16,2020/04/24,2020/04/24,527,2020/04/24,524,2020/04/24,9501605.0
17,2020/04/25,2020/04/25,528,2020/04/25,524,2020/04/25,10770976.0
18,2020/04/26,2020/04/26,530,2020/04/26,524,2020/04/26,16039235.0
19,2020/04/27,2020/04/27,527,2020/04/27,523,2020/04/27,17067031.0
20,2020/04/28,2020/04/28,527,2020/04/28,523,2020/04/28,14281170.0
21,2020/04/29,2020/04/29,532,2020/04/29,524,2020/04/29,795004.0
22,2020/04/30,2020/04/30,539,2020/04/30,525,2020/04/30,13830226.0
23,2020/05/01,2020/05/01,552,2020/05/01,525,2020/05/01,6713829.0
24,2020/05/02,2020/05/02,570,2020/05/02,527,2020/05/02,10213664.0
25,2020/05/03,2020/05/03,570,2020/05/03,528,2020/05/03,1643476.0
26,2020/05/04,2020/05/04,548,2020/05/04,529,2020/05/04,9331423.0
27,2020/05/05,2020/05/05,544,2020/05/05,529,2020/05/05,13293389.0
28,2020/05/06,2020/05/06,549,2020/05/06,530,2020/05/06,16333444.0
29,2020/05/07,2020/05/07,571,2020/05/07,532,2020/05/07,11849857.0
30,2020/05/08,2020/05/08,566,2020/05/08,534,2020/05/08,8795418.0
31,2020/05/09,2020/05/09,564,2020/05/09,535,2020/05/09,16643228.0
32,2020/05/10,2020/05/10,555,2020/05/10,537,2020/05/10,4151920.0
33,2020/05/11,2020/05/11,538,2020/05/11,538,2020/05/11,9822997.0
34,2020/05/12,2020/05/12,533,2020/05/12,538,2020/05/12,10176615.0
35,2020/05/13,2020/05/13,535,2020/05/13,539,2020/05/13,1185627.0
36,2020/05/14,2020/05/14,540,2020/05/14,539,2020/05/14,5934013.0
37,2020/05/15,2020/05/15,567,2020/05/15,540,2020/05/15,10544031.0
38,2020/05/16,2020/05/16,590,2020/05/16,542,2020/05/16,13789585.0
39,2020/05/17,2020/05/17,584,2020/05/17,544,2020/05/17,11963139.0
40,2020/05/18,2020/05/18,559,2020/05/18,545,2020/05/18,7948841.0
41,2020/05/19,2020/05/19,557,2020/05/19,546,2020/05/19,13384287.0
42,2020/05/20,2020/05/20,558,2020/05/20,547,2020/05/20,10760401.0
43,2020/05/21,2020/05/21,558,2020/05/21,548,2020/05/21,8854919.0
44,2020/05/22,2020/05/22,554,2020/05/22,549,2020/05/22,12873059.0
45,2020/05/23,2020/05/23,538,2020/05/23,550,2020/05/23,24705938.0
46,2020/05/24,2020/05/24,520,2020/05/24,550,2020/05/24,11111406.0
47,2020/05/25,2020/05/25,520,2020/05/25,549,2020/05/25,7377710.0
48,2020/05/26,2020/05/26,522,2020/05/26,549,2020/05/26,11088848.0
49,2020/05/27,2020/05/27,531,2020/05/27,549,2020/05/27,6760513.0
50,2020/05/28,2020/05/28,558,2020/05/28,550,2020/05/28,7695404.0
51,2020/05/29,2020/05/29,570,2020/05/29,552,2020/05/29,14293994.0
52,2020/05/30,2020/05/30,561,2020/05/30,552,2020/05/30,9544195.0
53,2020/05/31,2020/05/31,538,2020/05/31,552,2020/05/31,11914151.0
54,2020/06/01,2020/06/01,538,2020/06/01,551,2020/06/01,8747357.0
55,2020/06/02,2020/06/02,552,2020/06/02,550,2020/06/02,16171491.0
56,2020/06/03,2020/06/03,568,2020/06/03,551,2020/06/03,5187544.0
57,2020/06/04,2020/06/04,565,2020/06/04,551,2020/06/04,7762523.0
58,2020/06/05,2020/06/05,558,2020/06/05,552,2020/06/05,16531584.0
59,2020/06/06,2020/06/06,553,2020/06/06,551,2020/06/06,12589829.0
60,2020/06/07,2020/06/07,555,2020/06/07,551,2020/06/07,8831308.0
61,2020/06/08,2020/06/08,556,2020/06/08,551,2020/06/08,8955322.0
62,2020/06/09,2020/06/09,555,2020/06/09,551,2020/06/09,10600899.0
63,2020/06/10,2020/06/10,562,2020/06/10,551,2020/06/10,16590908.0
64,2020/06/11,2020/06/11,560,2020/06/11,552,2020/06/11,3242907.0
65,2020/06/12,2020/06/12,553,2020/06/12,553,2020/06/12,8388853.0
66,2020/06/13,2020/06/13,549,2020/06/13,553,2020/06/13,10520608.0
67,2020/06/14,2020/06/14,557,2020/06/14,553,2020/06/14,3009685.0
68,2020/06/15,2020/06/15,559,2020/06/15,552,2020/06/15,10175688.0
69,2020/06/16,2020/06/16,563,2020/06/16,551,2020/06/16,8890119.0
70,2020/06/17,2020/06/17,577,2020/06/17,552,2020/06/17,3583380.0
71,2020/06/18,2020/06/18,554,2020/06/18,552,2020/06/18,5986159.0
72,2020/06/19,2020/06/19,558,2020/06/19,552,2020/06/19,17827041.0
73,2020/06/20,2020/06/20,532,2020/06/20,551,2020/06/20,8618471.0
74,2020/06/21,2020/06/21,528,2020/06/21,550,2020/06/21,437150.0
75,2020/06/22,2020/06/22,528,2020/06/22,550,2020/06/22,10388824.0
76,2020/06/23,2020/06/23,549,2020/06/23,550,2020/06/23,8914296.0
77,2020/06/24,2020/06/24,556,2020/06/24,552,2020/06/24,0.0
78,2020/06/25,2020/06/25,563,2020/06/25,553,2020/06/25,10708135.0
79,2020/06/26,2020/06/26,560,2020/06/26,554,2020/06/26,13858004.0
80,2020/06/27,2020/06/27,534,2020/06/27,553,2020/06/27,11789774.0
81,2020/06/28,2020/06/28,507,2020/06/28,551,2020/06/28,12219656.0
82,2020/06/29,2020/06/29,489,2020/06/29,549,2020/06/29,6575102.0
83,2020/06/30,2020/06/30,503,2020/06/30,548,2020/06/30,13932337.0
84,2020/07/01,2020/07/01,526,2020/07/01,547,2020/07/01,6684808.0
85,2020/07/02,2020/07/02,519,2020/07/02,546,2020/07/02,9602781.0
86,2020/07/03,2020/07/03,515,2020/07/03,544,2020/07/03,14188958.0
87,2020/07/04,2020/07/04,502,2020/07/04,542,2020/07/04,12269503.0
88,2020/07/05,2020/07/05,503,2020/07/05,540,2020/07/05,5914894.0
89,2020/07/06,2020/07/06,512,2020/07/06,539,2020/07/06,13542015.0
90,2020/07/07,2020/07/07,514,2020/07/07,538,2020/07/07,7993657.0
91,2020/07/08,2020/07/08,520,2020/07/08,536,2020/07/08,416916.0
92,2020/07/09,2020/07/09,529,2020/07/09,536,2020/07/09,7902213.0
93,2020/07/10,2020/07/10,536,2020/07/10,535,2020/07/10,12153621.0
94,2020/07/11,2020/07/11,520,2020/07/11,533,2020/07/11,9643312.0
95,2020/07/12,2020/07/12,518,2020/07/12,532,2020/07/12,4640717.0
96,2020/07/13,2020/07/13,523,2020/07/13,531,2020/07/13,8894243.0
97,2020/07/14,2020/07/14,527,2020/07/14,530,2020/07/14,9585122.0
98,2020/07/15,2020/07/15,533,2020/07/15,529,2020/07/15,2536130.0
99,2020/07/16,2020/07/16,543,2020/07/16,529,2020/07/16,10238736.0
100,2020/07/17,2020/07/17,534,2020/07/17,527,2020/07/17,9342420.0
101,2020/07/18,2020/07/18,522,2020/07/18,526,2020/07/18,8905934.0
102,2020/07/19,2020/07/19,510,2020/07/19,525,2020/07/19,1365447.0
103,2020/07/20,2020/07/20,501,2020/07/20,524,2020/07/20,10208332.0
104,2020/07/21,2020/07/21,504,2020/07/21,523,2020/07/21,8699467.0
105,2020/07/22,2020/07/22,498,2020/07/22,522,2020/07/22,258216.0
106,2020/07/23,2020/07/23,482,2020/07/23,520,2020/07/23,9031398.0
107,2020/07/24,2020/07/24,491,2020/07/24,517,2020/07/24,9678831.0
108,2020/07/25,2020/07/25,498,2020/07/25,515,2020/07/25,12861071.0
109,2020/07/26,2020/07/26,494,2020/07/26,513,2020/07/26,2403349.0
110,2020/07/27,2020/07/27,489,2020/07/27,512,2020/07/27,9921763.0
111,2020/07/28,2020/07/28,492,2020/07/28,511,2020/07/28,12471727.0
112,2020/07/29,2020/07/29,498,2020/07/29,511,2020/07/29,8443089.0
113,2020/07/30,2020/07/30,512,2020/07/30,512,2020/07/30,11555554.0
114,2020/07/31,2020/07/31,527,2020/07/31,512,2020/07/31,4401292.0
115,2020/08/01,2020/08/01,527,2020/08/01,512,2020/08/01,13220131.0
116,2020/08/02,2020/08/02,515,2020/08/02,512,2020/08/02,3127731.0
117,2020/08/03,2020/08/03,512,2020/08/03,512,2020/08/03,9411296.0
118,2020/08/04,2020/08/04,518,2020/08/04,513,2020/08/04,8303488.0
119,2020/08/05,2020/08/05,524,2020/08/05,513,2020/08/05,2918649.0
120,2020/08/06,2020/08/06,524,2020/08/06,514,2020/08/06,7079240.0
121,2020/08/07,2020/08/07,520,2020/08/07,514,2020/08/07,10723264.0
122,2020/08/08,2020/08/08,526,2020/08/08,513,2020/08/08,9780135.0
123,2020/08/09,2020/08/09,537,2020/08/09,513,2020/08/09,4203528.0
124,2020/08/10,2020/08/10,531,2020/08/10,514,2020/08/10,12634837.0
125,2020/08/11,2020/08/11,531,2020/08/11,514,2020/08/11,4228714.0
126,2020/08/12,2020/08/12,536,2020/08/12,515,2020/08/12,9924939.0
127,2020/08/13,2020/08/13,550,2020/08/13,515,2020/08/13,6474840.0
128,2020/08/14,2020/08/14,552,2020/08/14,516,2020/08/14,12627197.0
129,2020/08/15,2020/08/15,528,2020/08/15,516,2020/08/15,5365260.0
130,2020/08/16,2020/08/16,513,2020/08/16,515,2020/08/16,12266612.0
131,2020/08/17,2020/08/17,492,2020/08/17,514,2020/08/17,1043305.0
132,2020/08/18,2020/08/18,494,2020/08/18,513,2020/08/18,7224543.0
133,2020/08/19,2020/08/19,496,2020/08/19,513,2020/08/19,8471313.0
134,2020/08/20,2020/08/20,493,2020/08/20,513,2020/08/20,11897162.0
135,2020/08/21,2020/08/21,491,2020/08/21,513,2020/08/21,11136472.0
136,2020/08/22,2020/08/22,494,2020/08/22,513,2020/08/22,8099378.0
137,2020/08/23,2020/08/23,480,2020/08/23,513,2020/08/23,7719611.0
138,2020/08/24,2020/08/24,483,2020/08/24,512,2020/08/24,5818624.0
139,2020/08/25,2020/08/25,507,2020/08/25,513,2020/08/25,7427940.0
140,2020/08/26,2020/08/26,529,2020/08/26,514,2020/08/26,8699807.0
141,2020/08/27,2020/08/27,537,2020/08/27,515,2020/08/27,11093471.0
142,2020/08/28,2020/08/28,531,2020/08/28,517,2020/08/28,5466003.0
143,2020/08/29,2020/08/29,528,2020/08/29,517,2020/08/29,13812391.0
144,2020/08/30,2020/08/30,502,2020/08/30,516,2020/08/30,5987225.0
145,2020/08/31,2020/08/31,498,2020/08/31,515,2020/08/31,8900289.0
146,2020/09/01,2020/09/01,492,2020/09/01,514,2020/09/01,6851789.0
147,2020/09/02,2020/09/02,489,2020/09/02,514,2020/09/02,7394110.0
148,2020/09/03,2020/09/03,481,2020/09/03,512,2020/09/03,11598488.0
149,2020/09/04,2020/09/04,484,2020/09/04,511,2020/09/04,10035196.0
150,2020/09/05,2020/09/05,482,2020/09/05,510,2020/09/05,7961450.0
151,2020/09/06,2020/09/06,470,2020/09/06,508,2020/09/06,7107150.0
152,2020/09/07,2020/09/07,476,2020/09/07,506,2020/09/07,12084294.0
153,2020/09/08,2020/09/08,473,2020/09/08,504,2020/09/08,8127548.0
154,2020/09/09,2020/09/09,473,2020/09/09,502,2020/09/09,6893154.0
155,2020/09/10,2020/09/10,474,2020/09/10,500,2020/09/10,8190569.0
156,2020/09/11,2020/09/11,484,2020/09/11,499,2020/09/11,9920543.0
157,2020/09/12,2020/09/12,486,2020/09/12,497,2020/09/12,9620599.0
158,2020/09/13,2020/09/13,478,2020/09/13,494,2020/09/13,6273223.0
159,2020/09/14,2020/09/14,488,2020/09/14,493,2020/09/14,5801775.0
